Title,ISBN,Author,Rating,Date of publish,Category,user_id,LIKE,Comment
A Certain Ambiguity: A Mathematical Novel,9780691127095,"Gaurav Suri,Hartosh Singh Bal",4.0,"July 2, 2007",Math,71,0,A thought-provoking and insightful book.
Alibaba: The House That Jack Ma Built,9780062413406,Duncan Clark,1.0,"April 12, 2016",Technology,440,0,A classic for a reason. Highly enjoyable.
Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code (Zed Shaw's Hard Way Series),9780134692883,Shaw Zed A.,1.0,"June 26, 2017",Computer-Science,467,0,The ending left me wanting more.
Data and Goliath: The Hidden Battles to Collect Your Data and Control Your World,9780393352177,Bruce Schneier,4.0,"March 2, 2015",Computer-Science,84,1,A classic for a reason. Highly enjoyable.
"Puff, the Magic Dragon Pop-Up Book",9781402779190,"Peter Yarrow,Lenny Lipton",4.0,"August 1, 2007",Children,468,1,I struggled to connect with the main character.
"Shades of Milk and Honey (Glamourist Histories, #1)",9781429963367,Mary Robinette Kowal,,"July 26, 2010",nonfiction,53,1,Disappointing after all the hype.
"Shades of Milk and Honey (Glamourist Histories, #1)",9781429963367,Mary Robinette Kowal,,"July 26, 2010",nonfiction,482,1,The ending left me wanting more.
The Wordy Shipmates,9781594489990,Sarah Vowell,4.0,"October 7, 2008",Children,261,1,I couldn't put it down!
"Little House in the Big Woods (Little House, #1)",9780060885373,"Laura Ingalls Wilder,Garth Williams",4.0,"January 1, 1932",self-help,154,0,"Not what I expected, but in a good way!"
American Sphinx: The Character of Thomas Jefferson,9780679764410,Joseph J. Ellis,4.0,"January 31, 1997",History,51,1,A quick and entertaining read.
Batman: The Dark Knight Strikes Again,9781563899294,"Frank Miller,Lynn Varley,Todd Klein",3.0,"January 1, 2001",Comics,243,0,A classic for a reason. Highly enjoyable.
Lantern Sam and the Blue Streak Bandits,9780385753173,Michael D. Beil,2.0,"January 1, 2014",Children,35,0,A thought-provoking and insightful book.
Lantern Sam and the Blue Streak Bandits,9780385753173,Michael D. Beil,4.0,"January 1, 2014",Children,438,1,A captivating story with well-developed characters.
"Once Upon a Marigold (Upon a Marigold, #1)",9780152050849,Jean Ferris,,"October 1, 2002",Children,321,1,The ending left me wanting more.
The Principles of Beautiful Web Design,9780975841969,"Jason Beaird,Alex Walker,James George",4.0,"January 31, 2007",Computer-Science,128,0,A quick and entertaining read.
Test-Driven Development: By Example,9780321146533,Kent Beck,4.0,"January 1, 2002",Computer-Science,267,0,Disappointing after all the hype.
Army of None: Autonomous Weapons and the Future of War,9780393356588,Paul Scharre,4.0,"April 24, 2018",Computer-Science,14,1,I would recommend this to fans of [genre].
The Jamange Line,9798863458434,"The Conductor,Ashley S. Clancy",4.0,"October 5, 2023",Children,284,1,This book really made me think about [a theme].
"Planet Mail (Mail Call, #1)",9781419956621,Kate Pearce,1.0,"July 5, 2006",Biology,292,0,A quick and entertaining read.
"Planet Mail (Mail Call, #1)",9781419956621,Kate Pearce,4.0,"July 5, 2006",Biology,329,0,A quick and entertaining read.
Fancy Nancy and the Boy from Paris (I Can Read Level 1),9780061236099,"Jane O&apos;Connor,Robin Preiss Glasser",3.0,"February 5, 2008",Children,106,0,I couldn't put it down!
"Homicidal Psycho Jungle Cat (Calvin and Hobbes, #9)",9780836217698,Bill Watterson,5.0,"September 1, 1994",Children,243,0,A captivating story with well-developed characters.
Grit: The Power of Passion and Perseverance,9781501111105,Angela Duckworth,4.0,"May 3, 2016",Personal-Development,218,1,This book really made me think about [a theme].
"Frost Burned (Mercy Thompson, #7)",9780441020010,Patricia Briggs,4.0,"January 1, 2013",Cars,136,1,I struggled to connect with the main character.
"Fortunately, the Milk",9780062224071,"Neil Gaiman,Skottie Young",4.0,"September 17, 2013",Comics,195,1,The plot twists kept me guessing until the end.
"You Do You: How to Be Who You Are and Use What You've Got to Get What You Want (A No F*cks Given Guide, 3)",9780316445122,Sarah Knight,4.0,"November 21, 2017",Personal-Development,375,1,The plot twists kept me guessing until the end.
Shanghai Girls: Uncensored & Unsentimental,9789881841940,Mina Hanbury-Tenison,,"January 1, 2010",Personal-Development,236,1,A quick and entertaining read.
Introduction to Analysis Pearson New International Edition,9781292039329,William R. Wade,4.0,"August 1, 1994",Computer-Science,178,0,The pacing felt a bit off in the middle.
Introduction to Analysis Pearson New International Edition,9781292039329,William R. Wade,4.0,"August 1, 1994",Computer-Science,414,0,Disappointing after all the hype.
The Tin Snail,9780857551290,"Cameron McAllister,Sam Usher",4.0,"January 1, 2014",Cars,40,1,I found the writing style to be quite beautiful.
Information Doesn't Want to Be Free: Laws for the Internet Age,9781940450285,"Cory Doctorow,Neil Gaiman,Amanda Palmer",4.0,"November 18, 2014",Computer-Science,87,1,Disappointing after all the hype.
"Green Mars (Mars Trilogy, #2)",9780553572391,Kim Stanley Robinson,4.0,"May 1, 1993",Children,113,1,A captivating story with well-developed characters.
"Green Mars (Mars Trilogy, #2)",9780553572391,Kim Stanley Robinson,4.0,"May 1, 1993",Children,239,0,The plot twists kept me guessing until the end.
"Safe House (1-800-Where-R-You, #3)",9781416927068,"Jenny Carroll,Meg Cabot",4.0,"March 1, 2002",Children,334,0,The ending left me wanting more.
The Only Woman in the Room,9781492666875,Marie Benedict,,"January 8, 2019",Computer-Science,321,1,A quick and entertaining read.
The Lost City of the Monkey God,9781504030267,Douglas Preston,2.0,"January 3, 2017",Personal-Development,156,0,The ending left me wanting more.
The Manny,9781603708821,Sara Bell,4.0,"December 19, 2009",Cars,473,1,The ending left me wanting more.
"Phoenix and Ashes (Elemental Masters, #3)",9780756402723,Mercedes Lackey,4.0,"October 4, 2004",Children,448,1,I couldn't put it down!
Recoding America: Why Government Is Failing in the Digital Age and How We Can Do Better,9781250266774,Jennifer Pahlka,4.0,"June 13, 2023",Computer-Science,218,1,The plot twists kept me guessing until the end.
Recoding America: Why Government Is Failing in the Digital Age and How We Can Do Better,9781250266774,Jennifer Pahlka,,"June 13, 2023",Computer-Science,398,0,Disappointing after all the hype.
Against the Day,9781594201202,Thomas Pynchon,4.0,"November 21, 2006",Math,182,0,I couldn't put it down!
Cassandra: The Definitive Guide,9781449390419,Eben Hewitt,4.0,"November 12, 2010",Computer-Science,337,1,A captivating story with well-developed characters.
The Science of Getting Rich,9781585426010,Wallace D. Wattles,4.0,"January 1, 1910",Business,288,0,I would recommend this to fans of [genre].
Tightwads and Spendthrifts: Navigating the Money Minefield in Real Relationships,9781250280084,Scott Rick,4.0,"January 9, 2024",Personal-Development,209,0,The plot twists kept me guessing until the end.
Tightwads and Spendthrifts: Navigating the Money Minefield in Real Relationships,9781250280084,Scott Rick,,"January 9, 2024",Personal-Development,242,0,
Tightwads and Spendthrifts: Navigating the Money Minefield in Real Relationships,9781250280084,Scott Rick,4.0,"January 9, 2024",Personal-Development,256,0,Disappointing after all the hype.
The 7 Habits of Highly Effective Families: Creating a Nurturing Family in a Turbulent World,9780307440853,"Stephen R. Covey,Sandra M. Covey",,"October 1, 1997",Personal-Development,376,0,"Not what I expected, but in a good way!"
The Transhumanism Handbook,9783030169190,Newton Lee,4.0,"August 6, 2019",Personal-Development,304,0,I found the writing style to be quite beautiful.
The Transhumanism Handbook,9783030169190,Newton Lee,4.0,"August 6, 2019",Personal-Development,377,1,A quick and entertaining read.
"Billy Bunter's Banknote (Billy Bunter, #2)",9780948248689,Frank Richards,4.0,"July 15, 1932",Children,87,1,This book really made me think about [a theme].
"Billy Bunter's Banknote (Billy Bunter, #2)",9780948248689,Frank Richards,3.0,"July 15, 1932",Children,473,0,The world-building in this fantasy novel is incredible.
Positively Izzy (Emmie & Friends #2),9780062484963,Terri Libenson,4.0,"May 1, 2018",Children,369,1,I struggled to connect with the main character.
"To Be Taught, If Fortunate",9780062936011,Becky  Chambers,4.0,"August 8, 2019",Technology,392,1,"Not what I expected, but in a good way!"
CEO-Stories: Children Employed by Owners,9781649530356,"Michael Eastwood,Dr Melissa Caudle",5.0,"August 24, 2020",Business,221,0,"Not what I expected, but in a good way!"
"The Fire at Mary Anne's House (The Baby-Sitters Club, #131)",9780590503907,Ann M. Martin,4.0,"June 1, 1999",Math,78,0,I would recommend this to fans of [genre].
My Neighbor Totoro 2,9781591166849,Hayao Miyazaki,4.0,"June 30, 1988",studio-ghibli,38,1,
Schindler’s List,9780340606513,Thomas Keneally,,"October 18, 1982",Personal-Development,348,0,Disappointing after all the hype.
"A Pride Christmas in Brooklyn (Pride, #1.1)",9781932866506,Shelly Laurenston,3.0,"September 25, 2007",nonfiction,100,0,This book really made me think about [a theme].
"Hitler's Daughter (Hitler Trilogy, #1)",9780060086527,Jackie French,,"October 13, 1999",Children,38,0,Disappointing after all the hype.
Who Fears Death,9780756406172,Nnedi Okorafor,4.0,"June 1, 2010",Children,36,1,The world-building in this fantasy novel is incredible.
"Tracking Trisha (Dragon Lords of Valdier, #3)",9781942562023,S.E. Smith,4.0,"June 8, 2012",Biology,275,0,A thought-provoking and insightful book.
"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",9781328662057,Lori Gottlieb,4.0,"April 2, 2019",Personal-Development,414,0,I found the writing style to be quite beautiful.
The Orphanage (Shilling Grange Children’s Home #1),9781800192058,Lizzie Page,4.0,"August 27, 2021",Children,227,1,A thought-provoking and insightful book.
"The Forbidden Vial (Alessia in Atlantis, #1)",9781736170472,Nathalie Laine,4.0,"March 1, 2021",Children,322,0,"Not what I expected, but in a good way!"
Late Bloomer: Finding My Authentic Self at Midlife,9781647425203,Melissa Giberson,,"August 8, 2023",Personal-Development,309,0,The ending left me wanting more.
25 Ways to Win with People: How to Make Others Feel Like a Million Bucks,9780785260943,John C. Maxwell,,"June 5, 2005",Personal-Development,73,0,I struggled to connect with the main character.
You Better Not Cry: Stories for Christmas,9780312341916,Augusten Burroughs,,"October 1, 2009",Children,58,0,I found the writing style to be quite beautiful.
You Better Not Cry: Stories for Christmas,9780312341916,Augusten Burroughs,1.0,"October 1, 2009",Children,280,0,A quick and entertaining read.
Less,9780316465182,Andrew Sean Greer,4.0,"July 18, 2017",nonfiction,363,1,The pacing felt a bit off in the middle.
The Invention of Nature: Alexander von Humboldt's New World,9780385350679,Andrea Wulf,4.0,"September 1, 2015",Biology,365,1,A thought-provoking and insightful book.
What a Time to Be Alone: The Slumflower's Guide to Why You Are Already Enough,9781787132115,Chidera Eggerue,4.0,"July 26, 2018",Personal-Development,495,1,A thought-provoking and insightful book.
Big Pumpkin,9780689801297,"Erica Silverman,S.D. Schindler",4.0,"August 31, 1992",Math,8,1,A quick and entertaining read.
Big Pumpkin,9780689801297,"Erica Silverman,S.D. Schindler",2.0,"August 31, 1992",Math,151,0,A classic for a reason. Highly enjoyable.
Big Pumpkin,9780689801297,"Erica Silverman,S.D. Schindler",4.0,"August 31, 1992",Math,165,0,I couldn't put it down!
Big Pumpkin,9780689801297,"Erica Silverman,S.D. Schindler",4.0,"August 31, 1992",Math,468,0,The plot twists kept me guessing until the end.
Star Dog,9780590317771,A.M. Lightner,4.0,"January 1, 1973",Math,410,1,Disappointing after all the hype.
Bingo Love,9780995460409,"Tee Franklin,Jenn St-Onge,Joy San,Cardinal Rae",,"February 20, 2018",Comics,111,1,I found the writing style to be quite beautiful.
Bingo Love,9780995460409,"Tee Franklin,Jenn St-Onge,Joy San,Cardinal Rae",4.0,"February 20, 2018",Comics,120,0,I couldn't put it down!
"Wicked Fate (Wicked, #1)",9781480258297,Tabatha Vargo,4.0,"September 22, 2012",Children,212,1,This book really made me think about [a theme].
"The Three Body Problem (Cambridge Mysteries, #1)",9780749083472,Catherine Shaw,3.0,"January 1, 2004",Math,62,1,I found the writing style to be quite beautiful.
"The Three Body Problem (Cambridge Mysteries, #1)",9780749083472,Catherine Shaw,3.0,"January 1, 2004",Math,282,1,A quick and entertaining read.
Ship Fever: Stories,9780393316001,Andrea Barrett,2.0,"January 17, 1996",Math,6,0,A captivating story with well-developed characters.
"Ponyo, Volume 1",9781421530772,Hayao Miyazaki,4.0,"July 7, 2009",studio-ghibli,125,0,The world-building in this fantasy novel is incredible.
"Ponyo, Volume 1",9781421530772,Hayao Miyazaki,4.0,"July 7, 2009",studio-ghibli,150,0,The pacing felt a bit off in the middle.
"Doing Bayesian Data Analysis: A Tutorial with R, JAGS, and Stan",9780124059160,John K. Kruschke,4.0,"November 11, 2014",Computer-Science,170,1,
"Doing Bayesian Data Analysis: A Tutorial with R, JAGS, and Stan",9780124059160,John K. Kruschke,,"November 11, 2014",Computer-Science,177,1,
"Compulsory (The Murderbot Diaries, #0.5)",9781645241720,Martha Wells,,"December 17, 2018",Children,212,0,This book really made me think about [a theme].
"Compulsory (The Murderbot Diaries, #0.5)",9781645241720,Martha Wells,4.0,"December 17, 2018",Children,236,1,
"Compulsory (The Murderbot Diaries, #0.5)",9781645241720,Martha Wells,1.0,"December 17, 2018",Children,425,0,The pacing felt a bit off in the middle.
"Gödel, Escher, Bach: An Eternal Golden Braid",9780465026562,Douglas R. Hofstadter,4.0,"April 1, 1979",Biology,370,0,I couldn't put it down!
In the Company of Heroes: The Personal Story Behind Black Hawk Down,9780451219930,"Michael J. Durant,Steven Hartov",4.0,"May 12, 2003",History,243,1,The ending left me wanting more.
The Accidental Santera,9780312381882,Irete Lazo,,"October 14, 2008",Computer-Science,26,1,I struggled to connect with the main character.
"Communication Matters: ""That's Not What I Meant!"": The Sociolinguistics of Everyday Conversation",9781402547720,Deborah Tannen,4.0,"January 1, 1986",Personal-Development,297,1,The ending left me wanting more.
"Communication Matters: ""That's Not What I Meant!"": The Sociolinguistics of Everyday Conversation",9781402547720,Deborah Tannen,,"January 1, 1986",Personal-Development,430,1,I couldn't put it down!
JavaScript: The Definitive Guide: Master the World's Most-Used Programming Language,9781491952023,David Flanagan,4.0,"January 1, 1996",Computer-Science,349,0,A quick and entertaining read.
First Things First,9780684802039,"Stephen R. Covey,A. Roger Merrill,Rebecca R. Merrill",4.0,"January 17, 1996",Business,124,1,A thought-provoking and insightful book.
First Things First,9780684802039,"Stephen R. Covey,A. Roger Merrill,Rebecca R. Merrill",4.0,"January 17, 1996",Business,458,1,A thought-provoking and insightful book.
"Poorly Drawn Lines: Good Ideas and Amazing Stories (Poorly Drawn Lines, #1)",9780147515421,Reza Farazmand,4.0,"October 6, 2015",Math,141,1,Disappointing after all the hype.
"Poorly Drawn Lines: Good Ideas and Amazing Stories (Poorly Drawn Lines, #1)",9780147515421,Reza Farazmand,4.0,"October 6, 2015",Math,209,0,The ending left me wanting more.
The 33 Strategies of War,9780670034574,Robert Greene,4.0,"April 2, 2001",Personal-Development,32,1,I would recommend this to fans of [genre].
An Annoying ABC,9780375867088,"Barbara Bottner,Michael Emberley",4.0,"January 1, 2011",Math,21,1,
The Power of Moments: Why Certain Experiences Have Extraordinary Impact,9781501147760,"Chip Heath,Dan Heath",4.0,"October 3, 2017",Personal-Development,72,1,I struggled to connect with the main character.
The Power of Moments: Why Certain Experiences Have Extraordinary Impact,9781501147760,"Chip Heath,Dan Heath",4.0,"October 3, 2017",Personal-Development,222,0,This book really made me think about [a theme].
Crime and Punishment,9780521796705,"Fyodor Dostoevsky,David McDuff,Joseph Frank",4.0,"January 1, 1866",Fantasy,107,0,"Not what I expected, but in a good way!"
Crime and Punishment,9780521796705,"Fyodor Dostoevsky,David McDuff,Joseph Frank",4.0,"January 1, 1866",Fantasy,381,0,
The City ABC Book,9781550749489,Zoran Milich,,"January 1, 2001",Math,194,0,
The City ABC Book,9781550749489,Zoran Milich,1.0,"January 1, 2001",Math,366,0,The plot twists kept me guessing until the end.
I Like Old Clothes,9780375969515,"Mary Ann Hoberman,Patrice Barton",4.0,"January 1, 1976",Math,444,1,I would recommend this to fans of [genre].
Only the Longest Threads,9781589880887,Tasneem Zehra Husain,1.0,"October 25, 2014",Computer-Science,122,0,The pacing felt a bit off in the middle.
"Elderhood: Redefining Aging, Transforming Medicine, Reimagining Life",9781620405468,Louise Aronson,,"June 11, 2019",Computer-Science,423,1,I couldn't put it down!
"Donovan's Devils: OSS Commandos Behind Enemy Lines—Europe, World War II",9781628725674,Albert Lulushi,4.0,"February 2, 2016",Math,2,1,I would recommend this to fans of [genre].
"Donovan's Devils: OSS Commandos Behind Enemy Lines—Europe, World War II",9781628725674,Albert Lulushi,2.0,"February 2, 2016",Math,9,0,A quick and entertaining read.
"The Boyfriend Project (The Boyfriend Project, #1)",9781538716625,Farrah Rochon,4.0,"June 9, 2020",Math,287,1,The world-building in this fantasy novel is incredible.
"The Boyfriend Project (The Boyfriend Project, #1)",9781538716625,Farrah Rochon,1.0,"June 9, 2020",Math,468,0,"Not what I expected, but in a good way!"
A Cat in a Chorus Line (Alice Nestleton Mystery #13),9780451180841,Lydia Adamson,4.0,"January 1, 1996",Math,346,0,A classic for a reason. Highly enjoyable.
"Fluent Python: Clear, Concise, and Effective Programming",9781491946008,Luciano Ramalho,5.0,"January 25, 2015",Computer-Science,361,0,The plot twists kept me guessing until the end.
"Fluent Python: Clear, Concise, and Effective Programming",9781491946008,Luciano Ramalho,5.0,"January 25, 2015",Computer-Science,362,0,The world-building in this fantasy novel is incredible.
Angela's Christmas,9781534461222,"Frank McCourt,Raúl Colón",4.0,"January 1, 2007",Children,127,1,
Angela's Christmas,9781534461222,"Frank McCourt,Raúl Colón",4.0,"January 1, 2007",Children,456,1,The plot twists kept me guessing until the end.
Enigma Black (Enigma Black #1),9781508839880,Sara Furlong Burr,,"November 22, 2012",Comics,179,1,
Enigma Black (Enigma Black #1),9781508839880,Sara Furlong Burr,4.0,"November 22, 2012",Comics,201,1,I would recommend this to fans of [genre].
Enigma Black (Enigma Black #1),9781508839880,Sara Furlong Burr,4.0,"November 22, 2012",Comics,214,1,A classic for a reason. Highly enjoyable.
Pied Piper,9780345017338,Nevil Shute,4.0,"January 1, 1942",Math,235,1,Disappointing after all the hype.
"Romancing the Inventor (Supernatural Society, #1)",9781944751067,Gail Carriger,2.0,"November 1, 2016",Technology,277,0,I found the writing style to be quite beautiful.
"Romancing the Inventor (Supernatural Society, #1)",9781944751067,Gail Carriger,4.0,"November 1, 2016",Technology,413,0,The pacing felt a bit off in the middle.
"The Upward Spiral: Using Neuroscience to Reverse the Course of Depression, One Small Change at a Time",9781626251205,"Alex Korb,Daniel J. Siegel",4.0,"March 1, 2015",Personal-Development,417,1,
Elegant Objects,9781519166913,Yegor Bugayenko,4.0,"February 17, 2016",Computer-Science,148,1,A quick and entertaining read.
Elegant Objects,9781519166913,Yegor Bugayenko,4.0,"February 17, 2016",Computer-Science,287,1,I would recommend this to fans of [genre].
No Excuses!: The Power of Self-Discipline,9781593155827,Brian Tracy,4.0,"January 1, 2010",Personal-Development,496,1,
Reach for the Summit: The Definite Dozen System for Succeeding at Whatever You Do,9780767902298,Pat Summitt,4.0,"January 15, 1998",Personal-Development,24,0,
All the Mathematics You Missed: But Need to Know for Graduate School,9780521797078,"Thomas A. Garrity,Lori Pedersen",4.0,"November 12, 2001",Math,300,1,I struggled to connect with the main character.
Life in Code: A Personal History of Technology,9780374534516,Ellen Ullman,3.0,"August 8, 2017",Computer-Science,27,0,
The 12 Week Year,9781118509234,"Brian P. Moran,Michael Lennington",4.0,"January 1, 2009",Personal-Development,196,1,A quick and entertaining read.
The 12 Week Year,9781118509234,"Brian P. Moran,Michael Lennington",,"January 1, 2009",Personal-Development,419,0,This book really made me think about [a theme].
The Suitcase Entrepreneur,9781501178177,Natalie Sisson,2.0,"August 4, 2013",Personal-Development,209,0,I would recommend this to fans of [genre].
"Magic in the Air (WINX Club, Vol. 8)",9781421542058,Iginio Straffi,5.0,"July 2, 2013",Children,198,0,A thought-provoking and insightful book.
"Magic in the Air (WINX Club, Vol. 8)",9781421542058,Iginio Straffi,,"July 2, 2013",Children,444,1,The ending left me wanting more.
"Jellaby (Jellaby, #1)",9781423103035,Kean Soo,4.0,"February 5, 2008",Comics,68,0,I would recommend this to fans of [genre].
"Jellaby (Jellaby, #1)",9781423103035,Kean Soo,4.0,"February 5, 2008",Comics,96,1,I struggled to connect with the main character.
"Jellaby (Jellaby, #1)",9781423103035,Kean Soo,4.0,"February 5, 2008",Comics,455,0,I would recommend this to fans of [genre].
"Girl, Interrupted",9780679746041,Susanna Kaysen,4.0,"January 1, 1993",Personal-Development,361,1,A thought-provoking and insightful book.
The Wretched of the Earth,9780802141323,"Frantz Fanon,Homi K. Bhabha,Richard Philcox,Jean-Paul Sartre",4.0,"January 1, 1961",Economics,380,0,I found the writing style to be quite beautiful.
Topology: A Very Short Introduction (Very Short Introductions),9780192568991,Richard Earl,4.0,"December 12, 2019",Computer-Science,17,0,
Machine Learning: A Probabilistic Perspective,9780262018029,Kevin P. Murphy,4.0,"August 24, 2012",Computer-Science,278,1,I couldn't put it down!
Bad Science,9780007240197,Ben Goldacre,4.0,"January 1, 2008",Biology,135,0,A quick and entertaining read.
Why Elephants Have Big Ears: And Other Riddles from the Natural World,9780312303334,Chris Lavers,4.0,"January 1, 2000",Math,497,0,The world-building in this fantasy novel is incredible.
"The Walking Dead, Vol. 1: Days Gone Bye",9781582406725,"Robert Kirkman,Tony Moore",4.0,"May 1, 2004",Comics,178,1,The plot twists kept me guessing until the end.
The Berenstain Bears and Too Much Birthday,9780394873329,"Stan Berenstain,Jan Berenstain",,"February 1, 1986",Math,58,0,I struggled to connect with the main character.
The Berenstain Bears and Too Much Birthday,9780394873329,"Stan Berenstain,Jan Berenstain",4.0,"February 1, 1986",Math,340,0,This book really made me think about [a theme].
"Weapons Grade (Jack Ryan Jr, #17; Jack Ryan Universe, #36)",9780593422823,"Don Bentley,Tom Clancy",4.0,"September 5, 2023",Technology,91,0,The world-building in this fantasy novel is incredible.
"Weapons Grade (Jack Ryan Jr, #17; Jack Ryan Universe, #36)",9780593422823,"Don Bentley,Tom Clancy",4.0,"September 5, 2023",Technology,240,1,The plot twists kept me guessing until the end.
Slow Death by Rubber Duck: The Secret Danger of Everyday Things,9781582435671,"Rick Smith,Bruce Lourie",4.0,"January 1, 2009",Math,489,1,A thought-provoking and insightful book.
"Dream On, Amber",9781492622505,Emma Shevah,4.0,"March 6, 2014",Children,198,1,A classic for a reason. Highly enjoyable.
Otto of the Silver Hand,9780486217840,Howard Pyle,4.0,"January 1, 1888",Children,402,1,This book really made me think about [a theme].
Papyrus,9781605988283,John Gaudet,4.0,"May 15, 2014",Math,474,1,A classic for a reason. Highly enjoyable.
"Speaker for the Dead (Ender's Saga, #2)",9780812550757,Orson Scott Card,,"March 1, 1986",Artificial-Intelligence,395,0,I struggled to connect with the main character.
The Grapes of Wrath,9780143039433,John Steinbeck,4.0,"April 14, 1939",politics,131,1,I would recommend this to fans of [genre].
Mr. Putter & Tabby Spill the Beans,9780152050702,"Cynthia Rylant,Arthur Howard",4.0,"January 1, 2009",Children,209,0,A captivating story with well-developed characters.
"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",9780374525644,Anne Fadiman,4.0,"January 1, 1997",Personal-Development,55,0,
Christmas in the Big Woods (Little House Picture Book),9780064434874,"Laura Ingalls Wilder,Renée Graef",4.0,"October 30, 1995",Children,57,1,I would recommend this to fans of [genre].
Christmas in the Big Woods (Little House Picture Book),9780064434874,"Laura Ingalls Wilder,Renée Graef",,"October 30, 1995",Children,88,0,The ending left me wanting more.
"The Sandman, Vol. 9: The Kindly Ones",9781563892042,"Neil Gaiman,Marc Hempel,Richard Case,D&apos;Israeli,Teddy Kristiansen,Glyn Dillon,Charles Vess,Dean Ormston,Kevin Nowlan,Todd Klein,Frank McConnell",5.0,"May 11, 1995",Comics,396,1,"Not what I expected, but in a good way!"
"The Phoenix and the Carpet (The Psammead Trilogy, #2)",9780140367393,"E. Nesbit,H.R. Millar",4.0,"January 1, 1904",Math,64,0,I would recommend this to fans of [genre].
"The Phoenix and the Carpet (The Psammead Trilogy, #2)",9780140367393,"E. Nesbit,H.R. Millar",4.0,"January 1, 1904",Math,235,0,The ending left me wanting more.
"Rapunzel's Revenge (Rapunzel's Revenge, #1)",9781599900704,"Shannon Hale,Dean Hale,Nathan Hale",4.0,"August 5, 2008",Comics,101,1,A classic for a reason. Highly enjoyable.
That Used to Be Us: How America Fell Behind in the World It Invented and How We Can Come Back,9781427213716,"Thomas L. Friedman,Michael Mandelbaum,Jason Culp",4.0,"January 1, 2011",Personal-Development,124,1,I couldn't put it down!
