Title,ISBN,Author,Date of publish,Category,user_id,LIKE,Click
The Time Traveler's Guide to Medieval England: A Handbook for Visitors to the Fourteenth Century,9781439112892,Ian Mortimer,"October 2, 2008",Technology,199,1,0
A Certain Ambiguity: A Mathematical Novel,9780691127095,"Gaurav Suri,Hartosh Singh Bal","July 2, 2007",Math,71,0,0
Alibaba: The House That Jack Ma Built,9780062413406,Duncan Clark,"April 12, 2016",Technology,440,0,1
Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code (Zed Shaw's Hard Way Series),9780134692883,Shaw Zed A.,"June 26, 2017",Computer-Science,467,0,0
Data and Goliath: The Hidden Battles to Collect Your Data and Control Your World,9780393352177,Bruce Schneier,"March 2, 2015",Computer-Science,84,1,1
"Puff, the Magic Dragon Pop-Up Book",9781402779190,"Peter Yarrow,Lenny Lipton","August 1, 2007",Children,468,1,0
"Shades of Milk and Honey (Glamourist Histories, #1)",9781429963367,Mary Robinette Kowal,"July 26, 2010",nonfiction,53,1,1
"Shades of Milk and Honey (Glamourist Histories, #1)",9781429963367,Mary Robinette Kowal,"July 26, 2010",nonfiction,482,1,1
The Wordy Shipmates,9781594489990,Sarah Vowell,"October 7, 2008",Children,261,1,1
"Little House in the Big Woods (Little House, #1)",9780060885373,"Laura Ingalls Wilder,Garth Williams","January 1, 1932",self-help,154,0,0
American Sphinx: The Character of Thomas Jefferson,9780679764410,Joseph J. Ellis,"January 31, 1997",History,51,1,1
Batman: The Dark Knight Strikes Again,9781563899294,"Frank Miller,Lynn Varley,Todd Klein","January 1, 2001",Comics,243,0,0
Lantern Sam and the Blue Streak Bandits,9780385753173,Michael D. Beil,"January 1, 2014",Children,35,0,1
Lantern Sam and the Blue Streak Bandits,9780385753173,Michael D. Beil,"January 1, 2014",Children,438,1,0
"Once Upon a Marigold (Upon a Marigold, #1)",9780152050849,Jean Ferris,"October 1, 2002",Children,321,1,0
The Principles of Beautiful Web Design,9780975841969,"Jason Beaird,Alex Walker,James George","January 31, 2007",Computer-Science,128,0,1
Test-Driven Development: By Example,9780321146533,Kent Beck,"January 1, 2002",Computer-Science,267,0,1
Army of None: Autonomous Weapons and the Future of War,9780393356588,Paul Scharre,"April 24, 2018",Computer-Science,14,1,0
The Jamange Line,9798863458434,"The Conductor,Ashley S. Clancy","October 5, 2023",Children,284,1,1
"Planet Mail (Mail Call, #1)",9781419956621,Kate Pearce,"July 5, 2006",Biology,292,0,1
"Planet Mail (Mail Call, #1)",9781419956621,Kate Pearce,"July 5, 2006",Biology,329,0,0
Fancy Nancy and the Boy from Paris (I Can Read Level 1),9780061236099,"Jane O&apos;Connor,Robin Preiss Glasser","February 5, 2008",Children,106,0,1
"Homicidal Psycho Jungle Cat (Calvin and Hobbes, #9)",9780836217698,Bill Watterson,"September 1, 1994",Children,243,0,1
Grit: The Power of Passion and Perseverance,9781501111105,Angela Duckworth,"May 3, 2016",Personal-Development,218,1,1
"Frost Burned (Mercy Thompson, #7)",9780441020010,Patricia Briggs,"January 1, 2013",Cars,136,1,1
"Fortunately, the Milk",9780062224071,"Neil Gaiman,Skottie Young","September 17, 2013",Comics,195,1,1
"You Do You: How to Be Who You Are and Use What You've Got to Get What You Want (A No F*cks Given Guide, 3)",9780316445122,Sarah Knight,"November 21, 2017",Personal-Development,375,1,1
Shanghai Girls: Uncensored & Unsentimental,9789881841940,Mina Hanbury-Tenison,"January 1, 2010",Personal-Development,236,1,1
Introduction to Analysis Pearson New International Edition,9781292039329,William R. Wade,"August 1, 1994",Computer-Science,178,0,0
Introduction to Analysis Pearson New International Edition,9781292039329,William R. Wade,"August 1, 1994",Computer-Science,414,0,1
The Tin Snail,9780857551290,"Cameron McAllister,Sam Usher","January 1, 2014",Cars,40,1,1
Information Doesn't Want to Be Free: Laws for the Internet Age,9781940450285,"Cory Doctorow,Neil Gaiman,Amanda Palmer","November 18, 2014",Computer-Science,87,1,0
"Green Mars (Mars Trilogy, #2)",9780553572391,Kim Stanley Robinson,"May 1, 1993",Children,113,1,0
"Green Mars (Mars Trilogy, #2)",9780553572391,Kim Stanley Robinson,"May 1, 1993",Children,239,0,1
"Safe House (1-800-Where-R-You, #3)",9781416927068,"Jenny Carroll,Meg Cabot","March 1, 2002",Children,334,0,0
The Only Woman in the Room,9781492666875,Marie Benedict,"January 8, 2019",Computer-Science,321,1,1
The Lost City of the Monkey God,9781504030267,Douglas Preston,"January 3, 2017",Personal-Development,156,0,0
The Manny,9781603708821,Sara Bell,"December 19, 2009",Cars,473,1,1
"Phoenix and Ashes (Elemental Masters, #3)",9780756402723,Mercedes Lackey,"October 4, 2004",Children,448,1,0
Recoding America: Why Government Is Failing in the Digital Age and How We Can Do Better,9781250266774,Jennifer Pahlka,"June 13, 2023",Computer-Science,218,1,1
Recoding America: Why Government Is Failing in the Digital Age and How We Can Do Better,9781250266774,Jennifer Pahlka,"June 13, 2023",Computer-Science,398,0,0
Against the Day,9781594201202,Thomas Pynchon,"November 21, 2006",Math,182,0,0
Cassandra: The Definitive Guide,9781449390419,Eben Hewitt,"November 12, 2010",Computer-Science,337,1,1
The Science of Getting Rich,9781585426010,Wallace D. Wattles,"January 1, 1910",Business,288,0,1
Tightwads and Spendthrifts: Navigating the Money Minefield in Real Relationships,9781250280084,Scott Rick,"January 9, 2024",Personal-Development,209,0,0
Tightwads and Spendthrifts: Navigating the Money Minefield in Real Relationships,9781250280084,Scott Rick,"January 9, 2024",Personal-Development,242,0,1
Tightwads and Spendthrifts: Navigating the Money Minefield in Real Relationships,9781250280084,Scott Rick,"January 9, 2024",Personal-Development,256,0,0
The 7 Habits of Highly Effective Families: Creating a Nurturing Family in a Turbulent World,9780307440853,"Stephen R. Covey,Sandra M. Covey","October 1, 1997",Personal-Development,376,0,1
The Transhumanism Handbook,9783030169190,Newton Lee,"August 6, 2019",Personal-Development,304,0,1
The Transhumanism Handbook,9783030169190,Newton Lee,"August 6, 2019",Personal-Development,377,1,1
"Billy Bunter's Banknote (Billy Bunter, #2)",9780948248689,Frank Richards,"July 15, 1932",Children,87,1,1
"Billy Bunter's Banknote (Billy Bunter, #2)",9780948248689,Frank Richards,"July 15, 1932",Children,473,0,1
Positively Izzy (Emmie & Friends #2),9780062484963,Terri Libenson,"May 1, 2018",Children,369,1,0
"To Be Taught, If Fortunate",9780062936011,Becky  Chambers,"August 8, 2019",Technology,392,1,0
CEO-Stories: Children Employed by Owners,9781649530356,"Michael Eastwood,Dr Melissa Caudle","August 24, 2020",Business,221,0,1
"The Fire at Mary Anne's House (The Baby-Sitters Club, #131)",9780590503907,Ann M. Martin,"June 1, 1999",Math,78,0,0
My Neighbor Totoro 2,9781591166849,Hayao Miyazaki,"June 30, 1988",studio-ghibli,38,1,1
Schindler’s List,9780340606513,Thomas Keneally,"October 18, 1982",Personal-Development,348,0,0
"A Pride Christmas in Brooklyn (Pride, #1.1)",9781932866506,Shelly Laurenston,"September 25, 2007",nonfiction,100,0,0
"Hitler's Daughter (Hitler Trilogy, #1)",9780060086527,Jackie French,"October 13, 1999",Children,38,0,1
Who Fears Death,9780756406172,Nnedi Okorafor,"June 1, 2010",Children,36,1,0
"Tracking Trisha (Dragon Lords of Valdier, #3)",9781942562023,S.E. Smith,"June 8, 2012",Biology,275,0,0
"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",9781328662057,Lori Gottlieb,"April 2, 2019",Personal-Development,414,0,1
The Orphanage (Shilling Grange Children’s Home #1),9781800192058,Lizzie Page,"August 27, 2021",Children,227,1,1
"The Forbidden Vial (Alessia in Atlantis, #1)",9781736170472,Nathalie Laine,"March 1, 2021",Children,322,0,1
Late Bloomer: Finding My Authentic Self at Midlife,9781647425203,Melissa Giberson,"August 8, 2023",Personal-Development,309,0,0
25 Ways to Win with People: How to Make Others Feel Like a Million Bucks,9780785260943,John C. Maxwell,"June 5, 2005",Personal-Development,73,0,1
You Better Not Cry: Stories for Christmas,9780312341916,Augusten Burroughs,"October 1, 2009",Children,58,0,0
You Better Not Cry: Stories for Christmas,9780312341916,Augusten Burroughs,"October 1, 2009",Children,280,0,0
Less,9780316465182,Andrew Sean Greer,"July 18, 2017",nonfiction,363,1,0
The Invention of Nature: Alexander von Humboldt's New World,9780385350679,Andrea Wulf,"September 1, 2015",Biology,365,1,1
What a Time to Be Alone: The Slumflower's Guide to Why You Are Already Enough,9781787132115,Chidera Eggerue,"July 26, 2018",Personal-Development,495,1,1
Big Pumpkin,9780689801297,"Erica Silverman,S.D. Schindler","August 31, 1992",Math,8,1,1
Big Pumpkin,9780689801297,"Erica Silverman,S.D. Schindler","August 31, 1992",Math,151,0,1
Big Pumpkin,9780689801297,"Erica Silverman,S.D. Schindler","August 31, 1992",Math,165,0,1
Big Pumpkin,9780689801297,"Erica Silverman,S.D. Schindler","August 31, 1992",Math,468,0,0
Star Dog,9780590317771,A.M. Lightner,"January 1, 1973",Math,410,1,1
Bingo Love,9780995460409,"Tee Franklin,Jenn St-Onge,Joy San,Cardinal Rae","February 20, 2018",Comics,111,1,1
Bingo Love,9780995460409,"Tee Franklin,Jenn St-Onge,Joy San,Cardinal Rae","February 20, 2018",Comics,120,0,0
"Wicked Fate (Wicked, #1)",9781480258297,Tabatha Vargo,"September 22, 2012",Children,212,1,0
"The Three Body Problem (Cambridge Mysteries, #1)",9780749083472,Catherine Shaw,"January 1, 2004",Math,62,1,0
"The Three Body Problem (Cambridge Mysteries, #1)",9780749083472,Catherine Shaw,"January 1, 2004",Math,282,1,0
Ship Fever: Stories,9780393316001,Andrea Barrett,"January 17, 1996",Math,6,0,0
"Ponyo, Volume 1",9781421530772,Hayao Miyazaki,"July 7, 2009",studio-ghibli,125,0,0
"Ponyo, Volume 1",9781421530772,Hayao Miyazaki,"July 7, 2009",studio-ghibli,150,0,1
"Doing Bayesian Data Analysis: A Tutorial with R, JAGS, and Stan",9780124059160,John K. Kruschke,"November 11, 2014",Computer-Science,170,1,1
"Doing Bayesian Data Analysis: A Tutorial with R, JAGS, and Stan",9780124059160,John K. Kruschke,"November 11, 2014",Computer-Science,177,1,0
"Compulsory (The Murderbot Diaries, #0.5)",9781645241720,Martha Wells,"December 17, 2018",Children,212,0,0
"Compulsory (The Murderbot Diaries, #0.5)",9781645241720,Martha Wells,"December 17, 2018",Children,236,1,0
"Compulsory (The Murderbot Diaries, #0.5)",9781645241720,Martha Wells,"December 17, 2018",Children,425,0,0
"Gödel, Escher, Bach: An Eternal Golden Braid",9780465026562,Douglas R. Hofstadter,"April 1, 1979",Biology,370,0,0
In the Company of Heroes: The Personal Story Behind Black Hawk Down,9780451219930,"Michael J. Durant,Steven Hartov","May 12, 2003",History,243,1,1
The Accidental Santera,9780312381882,Irete Lazo,"October 14, 2008",Computer-Science,26,1,0
"Communication Matters: ""That's Not What I Meant!"": The Sociolinguistics of Everyday Conversation",9781402547720,Deborah Tannen,"January 1, 1986",Personal-Development,297,1,1
"Communication Matters: ""That's Not What I Meant!"": The Sociolinguistics of Everyday Conversation",9781402547720,Deborah Tannen,"January 1, 1986",Personal-Development,430,1,1
JavaScript: The Definitive Guide: Master the World's Most-Used Programming Language,9781491952023,David Flanagan,"January 1, 1996",Computer-Science,349,0,0
First Things First,9780684802039,"Stephen R. Covey,A. Roger Merrill,Rebecca R. Merrill","January 17, 1996",Business,124,1,0
First Things First,9780684802039,"Stephen R. Covey,A. Roger Merrill,Rebecca R. Merrill","January 17, 1996",Business,458,1,0
"Poorly Drawn Lines: Good Ideas and Amazing Stories (Poorly Drawn Lines, #1)",9780147515421,Reza Farazmand,"October 6, 2015",Math,141,1,0
"Poorly Drawn Lines: Good Ideas and Amazing Stories (Poorly Drawn Lines, #1)",9780147515421,Reza Farazmand,"October 6, 2015",Math,209,0,0
The 33 Strategies of War,9780670034574,Robert Greene,"April 2, 2001",Personal-Development,32,1,1
An Annoying ABC,9780375867088,"Barbara Bottner,Michael Emberley","January 1, 2011",Math,21,1,0
The Power of Moments: Why Certain Experiences Have Extraordinary Impact,9781501147760,"Chip Heath,Dan Heath","October 3, 2017",Personal-Development,72,1,0
The Power of Moments: Why Certain Experiences Have Extraordinary Impact,9781501147760,"Chip Heath,Dan Heath","October 3, 2017",Personal-Development,222,0,1
Crime and Punishment,9780521796705,"Fyodor Dostoevsky,David McDuff,Joseph Frank","January 1, 1866",Fantasy,107,0,0
Crime and Punishment,9780521796705,"Fyodor Dostoevsky,David McDuff,Joseph Frank","January 1, 1866",Fantasy,381,0,0
The City ABC Book,9781550749489,Zoran Milich,"January 1, 2001",Math,194,0,0
The City ABC Book,9781550749489,Zoran Milich,"January 1, 2001",Math,366,0,1
I Like Old Clothes,9780375969515,"Mary Ann Hoberman,Patrice Barton","January 1, 1976",Math,444,1,1
Only the Longest Threads,9781589880887,Tasneem Zehra Husain,"October 25, 2014",Computer-Science,122,0,0
"Elderhood: Redefining Aging, Transforming Medicine, Reimagining Life",9781620405468,Louise Aronson,"June 11, 2019",Computer-Science,423,1,1
"Donovan's Devils: OSS Commandos Behind Enemy Lines—Europe, World War II",9781628725674,Albert Lulushi,"February 2, 2016",Math,2,1,0
"Donovan's Devils: OSS Commandos Behind Enemy Lines—Europe, World War II",9781628725674,Albert Lulushi,"February 2, 2016",Math,9,0,1
"The Boyfriend Project (The Boyfriend Project, #1)",9781538716625,Farrah Rochon,"June 9, 2020",Math,287,1,1
"The Boyfriend Project (The Boyfriend Project, #1)",9781538716625,Farrah Rochon,"June 9, 2020",Math,468,0,0
A Cat in a Chorus Line (Alice Nestleton Mystery #13),9780451180841,Lydia Adamson,"January 1, 1996",Math,346,0,1
"Fluent Python: Clear, Concise, and Effective Programming",9781491946008,Luciano Ramalho,"January 25, 2015",Computer-Science,361,0,0
"Fluent Python: Clear, Concise, and Effective Programming",9781491946008,Luciano Ramalho,"January 25, 2015",Computer-Science,362,0,1
Angela's Christmas,9781534461222,"Frank McCourt,Raúl Colón","January 1, 2007",Children,127,1,1
Angela's Christmas,9781534461222,"Frank McCourt,Raúl Colón","January 1, 2007",Children,456,1,1
Enigma Black (Enigma Black #1),9781508839880,Sara Furlong Burr,"November 22, 2012",Comics,179,1,0
Enigma Black (Enigma Black #1),9781508839880,Sara Furlong Burr,"November 22, 2012",Comics,201,1,0
Enigma Black (Enigma Black #1),9781508839880,Sara Furlong Burr,"November 22, 2012",Comics,214,1,0
Pied Piper,9780345017338,Nevil Shute,"January 1, 1942",Math,235,1,0
"Romancing the Inventor (Supernatural Society, #1)",9781944751067,Gail Carriger,"November 1, 2016",Technology,277,0,1
"Romancing the Inventor (Supernatural Society, #1)",9781944751067,Gail Carriger,"November 1, 2016",Technology,413,0,1
"The Upward Spiral: Using Neuroscience to Reverse the Course of Depression, One Small Change at a Time",9781626251205,"Alex Korb,Daniel J. Siegel","March 1, 2015",Personal-Development,417,1,0
Elegant Objects,9781519166913,Yegor Bugayenko,"February 17, 2016",Computer-Science,148,1,1
